?x	?label
<http://purl.obolibrary.org/obo/BFO_0000023>	"role"
<http://purl.obolibrary.org/obo/BFO_0000029>	"site"
<http://purl.obolibrary.org/obo/BFO_0000031>	"generically dependent continuant"
<http://purl.obolibrary.org/obo/BFO_0000040>	"material entity"
<http://purl.obolibrary.org/obo/BFO_0000141>	"immaterial entity"
<http://purl.obolibrary.org/obo/ENVO_00000428>	"biome"
<http://purl.obolibrary.org/obo/ENVO_01000254>	"environmental system"
<http://purl.obolibrary.org/obo/ENVO_01001110>	"ecosystem"
<http://purl.obolibrary.org/obo/GO_0002376>	"immune system process"
<http://purl.obolibrary.org/obo/GO_0002437>	"inflammatory response to antigenic stimulus"
<http://purl.obolibrary.org/obo/GO_0002438>	"acute inflammatory response to antigenic stimulus"
<http://purl.obolibrary.org/obo/GO_0002524>	"hypersensitivity"
<http://purl.obolibrary.org/obo/GO_0002526>	"acute inflammatory response"
<http://purl.obolibrary.org/obo/GO_0006950>	"response to stress"
<http://purl.obolibrary.org/obo/GO_0006952>	"defense response"
<http://purl.obolibrary.org/obo/GO_0006954>	"inflammatory response"
<http://purl.obolibrary.org/obo/GO_0006955>	"immune response"
<http://purl.obolibrary.org/obo/GO_0006955>	"immune response"
<http://purl.obolibrary.org/obo/GO_0008150>	"biological_process"
<http://purl.obolibrary.org/obo/GO_0050896>	"response to stimulus"
<http://purl.obolibrary.org/obo/IAO_0000005>	"objective specification"
<http://purl.obolibrary.org/obo/IAO_0000030>	"information content entity"
<http://purl.obolibrary.org/obo/IAO_0000033>	"directive information entity"
<http://purl.obolibrary.org/obo/IDO_0000436>	"infectious disease"
<http://purl.obolibrary.org/obo/IDO_0000495>	"infectious disease course"
<http://purl.obolibrary.org/obo/IDO_0000504>	"infectious disorder"
<http://purl.obolibrary.org/obo/IDO_0000586>	"infection"
<http://purl.obolibrary.org/obo/MF_0000020>	"mental process"
<http://purl.obolibrary.org/obo/NBO_0000007>	"temp: mouth movement"
<http://purl.obolibrary.org/obo/NCBITaxon_9606>	"Homo sapiens"
<http://purl.obolibrary.org/obo/OBI_0000011>	"planned process"
<http://purl.obolibrary.org/obo/OBI_0000047>	"processed material"
<http://purl.obolibrary.org/obo/OBI_0000093>	"patient role"
<http://purl.obolibrary.org/obo/OBI_0000319>	"material to be added role"
<http://purl.obolibrary.org/obo/OBI_0000434>	"adding material objective"
<http://purl.obolibrary.org/obo/OBI_0000444>	"target of material addition role"
<http://purl.obolibrary.org/obo/OBI_0000456>	"material transformation objective"
<http://purl.obolibrary.org/obo/OBI_0000686>	"material combination objective"
<http://purl.obolibrary.org/obo/OBI_0100026>	"organism"
<http://purl.obolibrary.org/obo/OBI_1110054>	"autoimmune disease"
<http://purl.obolibrary.org/obo/OGMS_0000020>	"symptom"
<http://purl.obolibrary.org/obo/OGMS_0000031>	"disease"
<http://purl.obolibrary.org/obo/OGMS_0000045>	"disorder"
<http://purl.obolibrary.org/obo/OGMS_0000047>	"genetic disorder"
<http://purl.obolibrary.org/obo/OGMS_0000060>	"bodily process"
<http://purl.obolibrary.org/obo/OGMS_0000061>	"pathological bodily process"
<http://purl.obolibrary.org/obo/OGMS_0000063>	"disease course"
<http://purl.obolibrary.org/obo/OGMS_0000064>	"chronic disease course"
<http://purl.obolibrary.org/obo/OGMS_0000085>	"pain"
<http://purl.obolibrary.org/obo/OGMS_0000096>	"health care process"
<http://purl.obolibrary.org/obo/OGMS_0000097>	"health care encounter"
<http://purl.obolibrary.org/obo/OGMS_0000099>	"outpatient encounter"
<http://purl.obolibrary.org/obo/OGMS_0000102>	"injury"
<http://purl.obolibrary.org/obo/OHD_0000000>	"dental restoration material"
<http://purl.obolibrary.org/obo/OHD_0000002>	"dental procedure"
<http://purl.obolibrary.org/obo/OHD_0000004>	"tooth restoration procedure"
<http://purl.obolibrary.org/obo/OHD_0000007>	"tooth to be restored role"
<http://purl.obolibrary.org/obo/OHD_0000009>	"dental visit"
<http://purl.obolibrary.org/obo/OHD_0000012>	"human dental patient"
<http://purl.obolibrary.org/obo/OHD_0000031>	"dental caries"
<http://purl.obolibrary.org/obo/OHD_0000043>	"dentin hypersensitivity"
<http://purl.obolibrary.org/obo/OHD_0000044>	"surgical dental procedure"
<http://purl.obolibrary.org/obo/OHD_0000051>	"dental healthcare provider"
<http://purl.obolibrary.org/obo/OHD_0000052>	"dental healthcare provider role"
<http://purl.obolibrary.org/obo/OHD_0000179>	"healthcare provider"
<http://purl.obolibrary.org/obo/OHD_0000189>	"restored tooth"
<http://purl.obolibrary.org/obo/OHD_0000190>	"dental patient role"
<http://purl.obolibrary.org/obo/OHD_0000191>	"dental restoration material role"
<http://purl.obolibrary.org/obo/OHD_0000191>	"dental restoration material role"
<http://purl.obolibrary.org/obo/OHD_0000206>	"functional tooth"
<http://purl.obolibrary.org/obo/OHD_0000212>	"healthcare provider role"
<http://purl.obolibrary.org/obo/OHD_0000259>	"dental implant"
<http://purl.obolibrary.org/obo/OHD_0000260>	"tooth disorder"
<http://purl.obolibrary.org/obo/OHD_0000264>	"tooth abrasive lesion"
<http://purl.obolibrary.org/obo/OHD_0000270>	"non-carious tooth lesion"
<http://purl.obolibrary.org/obo/OHD_0000271>	"mechanical tooth lesion"
<http://purl.obolibrary.org/obo/OHD_0000277>	"tooth fracture"
<http://purl.obolibrary.org/obo/OHD_0000278>	"dental implant body"
<http://purl.obolibrary.org/obo/OHD_0000282>	"tooth abrasive process"
<http://purl.obolibrary.org/obo/OHD_0000284>	"abrasive material"
<http://purl.obolibrary.org/obo/OHD_0000290>	"tooth friction lesion"
<http://purl.obolibrary.org/obo/OHD_0000301>	"prosthesis"
<http://purl.obolibrary.org/obo/OHD_0000302>	"prosthetic tooth"
<http://purl.obolibrary.org/obo/OHD_0000314>	"prosthetic role"
<http://purl.obolibrary.org/obo/OHD_0000315>	"functional prosthetic role"
<http://purl.obolibrary.org/obo/OHD_0000404>	"mouth disease"
<http://purl.obolibrary.org/obo/OHD_0000410>	"exposed dentin"
<http://purl.obolibrary.org/obo/OHD_0000413>	"tooth fracture with exposed dentin"
<http://purl.obolibrary.org/obo/OHD_0000414>	"mouth disorder"
<http://purl.obolibrary.org/obo/OHD_0000418>	"oral microbiome"
<http://purl.obolibrary.org/obo/OHD_0000420>	"oral dysbiosis"
<http://purl.obolibrary.org/obo/OHD_0000420>	"oral microbial dysbiosis"
<http://purl.obolibrary.org/obo/OHD_0000443>	"dental caries disease course"
<http://purl.obolibrary.org/obo/OHD_0008039>	"process during dental visit"
<http://purl.obolibrary.org/obo/OHD_0010000>	"orofacial pain"
<http://purl.obolibrary.org/obo/OHD_0010001>	"dental pain"
<http://purl.obolibrary.org/obo/OHD_0010002>	"pulpal pain"
<http://purl.obolibrary.org/obo/OHD_0010003>	"myofascial orofacial pain"
<http://purl.obolibrary.org/obo/OHD_0010004>	"temporomandibular joint pain"
<http://purl.obolibrary.org/obo/OHD_0010005>	"periodontal pain"
<http://purl.obolibrary.org/obo/OHD_0010006>	"gingival pain"
<http://purl.obolibrary.org/obo/OHD_0010007>	"jaw bone pain"
<http://purl.obolibrary.org/obo/OHD_0010008>	"pulpal pain due to hypersensitivity"
<http://purl.obolibrary.org/obo/OHD_0010009>	"sensory hypersensitivity"
<http://purl.obolibrary.org/obo/OHD_0010010>	"crack in enamel"
<http://purl.obolibrary.org/obo/OHD_0010011>	"dental sensory hypersensitivity"
<http://purl.obolibrary.org/obo/OHD_0010012>	"sensory hypersensitivity due to crack in enamel"
<http://purl.obolibrary.org/obo/OHD_0010013>	"pulpal pain due to crack in enamel"
<http://purl.obolibrary.org/obo/OHD_0010014>	"dentin hypersensitivity due to exposed dentin"
<http://purl.obolibrary.org/obo/OHD_0010015>	"pulpal pain due to exposed dentin"
<http://purl.obolibrary.org/obo/OHD_0010016>	"dentin hypersensitivity due to tooth wear or abrasion"
<http://purl.obolibrary.org/obo/OHD_0010017>	"pulpal pain due to tooth wear or abrasion"
<http://purl.obolibrary.org/obo/OHD_0010018>	"dentin hypersensitivity due to a fracture resulting in exposed dentin"
<http://purl.obolibrary.org/obo/OHD_0010019>	"pulpal pain due to a fracture resulting in exposed dentin"
<http://purl.obolibrary.org/obo/OHD_0010020>	"reversible pulpitis"
<http://purl.obolibrary.org/obo/OHD_0010021>	"periodontitis due to operation"
<http://purl.obolibrary.org/obo/OHD_0010022>	"oral mucosal pain"
<http://purl.obolibrary.org/obo/OHD_0010023>	"salivary gland pain"
<http://purl.obolibrary.org/obo/OHD_0010024>	"gingival pain due to gingivitis"
<http://purl.obolibrary.org/obo/OHD_0010025>	"gingivitis"
<http://purl.obolibrary.org/obo/OHD_0010026>	"gingivitis due to infection"
<http://purl.obolibrary.org/obo/OHD_0010027>	"gingival pain due to infection"
<http://purl.obolibrary.org/obo/OHD_0010028>	"exposed dental pulp"
<http://purl.obolibrary.org/obo/OHD_0010029>	"gingivitis due to bacterial infection"
<http://purl.obolibrary.org/obo/OHD_0010030>	"gingival pain due to bacterial infection"
<http://purl.obolibrary.org/obo/OHD_0010031>	"viral infection"
<http://purl.obolibrary.org/obo/OHD_0010032>	"gingivitis due to viral infection"
<http://purl.obolibrary.org/obo/OHD_0010033>	"gingival pain due to viral infection"
<http://purl.obolibrary.org/obo/OHD_0010034>	"fungal infection"
<http://purl.obolibrary.org/obo/OHD_0010035>	"gingivitis due to fungal infection"
<http://purl.obolibrary.org/obo/OHD_0010036>	"gingival pain due to fungal infection"
<http://purl.obolibrary.org/obo/OHD_0010037>	"salivary gland pain due to infection"
<http://purl.obolibrary.org/obo/OHD_0010038>	"salivary gland pain due to bacterial infection"
<http://purl.obolibrary.org/obo/OHD_0010039>	"salivary gland pain due to viral infection"
<http://purl.obolibrary.org/obo/OHD_0010040>	"oral mucosal pain due to infection"
<http://purl.obolibrary.org/obo/OHD_0010041>	"oral mucosal pain due to oral mucosal inflammation"
<http://purl.obolibrary.org/obo/OHD_0010042>	"oral mucosal inflammation"
<http://purl.obolibrary.org/obo/OHD_0010043>	"oral mucosal inflammation due to infection"
<http://purl.obolibrary.org/obo/OHD_0010044>	"oral mucosal inflammation due to bacterial infection"
<http://purl.obolibrary.org/obo/OHD_0010045>	"oral mucosal pain due to bacterial infection"
<http://purl.obolibrary.org/obo/OHD_0010046>	"oral mucosal inflammation due to viral infection"
<http://purl.obolibrary.org/obo/OHD_0010047>	"oral mucosal pain due to viral infection"
<http://purl.obolibrary.org/obo/OHD_0010048>	"oral mucosal inflammation due to fungal infection"
<http://purl.obolibrary.org/obo/OHD_0010049>	"oral mucosal pain due to fungal infection"
<http://purl.obolibrary.org/obo/OHD_0010050>	"jaw bone pain due to infection"
<http://purl.obolibrary.org/obo/OHD_0010051>	"jaw bone pain due to bacterial infection"
<http://purl.obolibrary.org/obo/OHD_0010052>	"jaw bone pain due to viral infection"
<http://purl.obolibrary.org/obo/OHD_0010053>	"jaw bone pain due to fungal infection"
<http://purl.obolibrary.org/obo/OHD_0010054>	"gingivitis due to injury"
<http://purl.obolibrary.org/obo/OHD_0010055>	"gingival pain due to injury"
<http://purl.obolibrary.org/obo/OHD_0010056>	"oral mucosal inflammation due to injury"
<http://purl.obolibrary.org/obo/OHD_0010057>	"oral mucosal pain due to injury"
<http://purl.obolibrary.org/obo/OHD_0010058>	"jaw bone pain due to injury"
<http://purl.obolibrary.org/obo/OHD_0010059>	"pain due to lesion or disease of the trigeminal nerve"
<http://purl.obolibrary.org/obo/OHD_0010060>	"pulpitis"
<http://purl.obolibrary.org/obo/OHD_0010061>	"pulpal pain due to pulpitis"
<http://purl.obolibrary.org/obo/OHD_0010062>	"reversible disorder"
<http://purl.obolibrary.org/obo/OHD_0010063>	"irreversible disorder"
<http://purl.obolibrary.org/obo/OHD_0010064>	"irreversible pulpitis"
<http://purl.obolibrary.org/obo/OHD_0010065>	"dentin infection"
<http://purl.obolibrary.org/obo/OHD_0010066>	"reversible pulpitis due to dentin infection"
<http://purl.obolibrary.org/obo/OHD_0010067>	"pulpal pain due to reversible pulpitis resulting from a dentin infection"
<http://purl.obolibrary.org/obo/OHD_0010068>	"irreversible pulpitis due to dentin infection"
<http://purl.obolibrary.org/obo/OHD_0010069>	"pulpal pain due to irreversible pulpitis resulting from a dentin infection"
<http://purl.obolibrary.org/obo/OHD_0010070>	"periodontitis"
<http://purl.obolibrary.org/obo/OHD_0010071>	"periodontal pain due to periodontitis"
<http://purl.obolibrary.org/obo/OHD_0010072>	"periodontitis due to injury"
<http://purl.obolibrary.org/obo/OHD_0010073>	"periodontal pain due to injury-induced periodontitis"
<http://purl.obolibrary.org/obo/OHD_0010074>	"developmental dental hard tissue defect"
<http://purl.obolibrary.org/obo/OHD_0010075>	"dentin hypersensitivity due to developmental dental hard tissue defect"
<http://purl.obolibrary.org/obo/OHD_0010076>	"pulpal pain due to developmental dental hard tissue defect"
<http://purl.obolibrary.org/obo/OHD_0010077>	"dentin hypersensitivity due to dental procedure"
<http://purl.obolibrary.org/obo/OHD_0010078>	"pulpal pain due to dental procedure"
<http://purl.obolibrary.org/obo/OHD_0010079>	"dental caries not extending to the pulp"
<http://purl.obolibrary.org/obo/OHD_0010080>	"reversible pulpitis due to dental caries not extending to the pulp"
<http://purl.obolibrary.org/obo/OHD_0010081>	"pulpal pain due to reversible pulpitis resulting from caries not extending to the pulp"
<http://purl.obolibrary.org/obo/OHD_0010082>	"reversible pulpitis due to dental hard tissue fracture with exposed dentin"
<http://purl.obolibrary.org/obo/OHD_0010083>	"pulpal pain due to reversible pulpitis resulting from dental hard-tissue defect with exposed dentin"
<http://purl.obolibrary.org/obo/OHD_0010084>	"dental caries extending to the pulp"
<http://purl.obolibrary.org/obo/OHD_0010086>	"pulpal due to irreversible pulpitis resulting from caries extending to the pulp"
<http://purl.obolibrary.org/obo/OHD_0010087>	"postoperative periodontal pain"
<http://purl.obolibrary.org/obo/OHD_0010088>	"apical periodontitis"
<http://purl.obolibrary.org/obo/OHD_0010089>	"endodontic disease"
<http://purl.obolibrary.org/obo/OHD_0010090>	"apical periodontitis due to endodontic disease"
<http://purl.obolibrary.org/obo/OHD_0010091>	"periodontal pain due to apical periodontitis resulting from endodontic disease"
<http://purl.obolibrary.org/obo/OHD_0010092>	"exposed dental pulp due to dental injury"
<http://purl.obolibrary.org/obo/OHD_0010093>	"pulpal pain due to pulp exposure resulting from dental trauma"
<http://purl.obolibrary.org/obo/OHD_0010094>	"tooth crack"
<http://purl.obolibrary.org/obo/OHD_0010095>	"tooth crack without evidence of missing tooth substance"
<http://purl.obolibrary.org/obo/OHD_0010096>	"bacterial infection"
<http://purl.obolibrary.org/obo/OHD_0010097>	"dental pulp infection"
<http://purl.obolibrary.org/obo/OHD_0010098>	"irreversible pulpitis due to dental pulp infection"
<http://purl.obolibrary.org/obo/OHD_0010099>	"pulpal pain due to irreversible pulpitis resulting from an infection of the dental pulp"
<http://purl.obolibrary.org/obo/OHD_0010100>	"periodontal disease"
<http://purl.obolibrary.org/obo/OHD_0010102>	"periodontal pain due to periodontal disease"
<http://purl.obolibrary.org/obo/OHD_0010103>	"chronic periodontitis"
<http://purl.obolibrary.org/obo/OHD_0010105>	"periodontal pain due to chronic periodontitis"
<http://purl.obolibrary.org/obo/OHD_0010106>	"pulpal pain due to placement of a restoration"
<http://purl.obolibrary.org/obo/OHD_0010107>	"reversible pulpitis due to tooth crack without evidence of missing tooth substance"
<http://purl.obolibrary.org/obo/OHD_0010108>	"pulpal pain due to reversible pulpitis resulting from tooth crack without evidence of missing tooth substance."
<http://purl.obolibrary.org/obo/OHD_0010109>	"aggressive periodontitis"
<http://purl.obolibrary.org/obo/OHD_0010110>	"periodontal disease due to aggressive periodontitis"
<http://purl.obolibrary.org/obo/OHD_0010111>	"periodontal pain due to aggressive periodontitis"
<http://purl.obolibrary.org/obo/OHD_0010112>	"necrotizing ulcerative periodontitis"
<http://purl.obolibrary.org/obo/OHD_0010113>	"periodontal disease due to necrotizing ulcerative periodontitis"
<http://purl.obolibrary.org/obo/OHD_0010114>	"periodontal pain due to necrotizing ulcerative periodontitis"
<http://purl.obolibrary.org/obo/OHD_0010115>	"gingival disorder"
<http://purl.obolibrary.org/obo/OHD_0010116>	"oral mucosal disorder"
<http://purl.obolibrary.org/obo/OHD_0010117>	"periodontal disorder"
<http://purl.obolibrary.org/obo/OHD_0010118>	"primary temporomandibular joint pain"
<http://purl.obolibrary.org/obo/OHD_0010119>	"acute primary temporomandibular joint pain"
<http://purl.obolibrary.org/obo/OHD_0010120>	"chronic primary temporomandibular joint pain"
<http://purl.obolibrary.org/obo/OHD_0010121>	"chronic infrequent primary temporomandibular joint pain"
<http://purl.obolibrary.org/obo/OHD_0010122>	"chronic frequent primary temporomandibular joint pain"
<http://purl.obolibrary.org/obo/OHD_0010123>	"chronic frequent primary temporomandibular joint pain without pain referral"
<http://purl.obolibrary.org/obo/OHD_0010124>	"chronic frequent primary temporomandibular joint pain with pain referral"
<http://purl.obolibrary.org/obo/OHD_0010125>	"chronic highly frequent primary temporomandibular joint pain"
<http://purl.obolibrary.org/obo/OHD_0010126>	"chronic highly frequent primary temporomandibular joint pain without pain referral"
<http://purl.obolibrary.org/obo/OHD_0010127>	"chronic highly frequent primary temporomandibular joint pain with pain referral"
<http://purl.obolibrary.org/obo/OHD_0010128>	"secondary temporomandibular joint pain"
<http://purl.obolibrary.org/obo/OHD_0010129>	"trigeminal neuralgic pain"
<http://purl.obolibrary.org/obo/OHD_0010130>	"classic trigeminal neuralgia"
<http://purl.obolibrary.org/obo/OHD_0010131>	"secondary trigeminal neuralgia"
<http://purl.obolibrary.org/obo/OHD_0010132>	"pain due to lesion or disease of the glossopharyngeal nerve"
<http://purl.obolibrary.org/obo/OHD_0010133>	"glossopharyngeal neuralgia"
<http://purl.obolibrary.org/obo/OHD_0010134>	"classical glossopharyngeal neuralgia"
<http://purl.obolibrary.org/obo/OHD_0010135>	"secondary glossopharyngeal neuralgia"
<http://purl.obolibrary.org/obo/OHD_0010136>	"idiopathic glossopharyngeal neuralgia"
<http://purl.obolibrary.org/obo/OHD_0010137>	"pulpal pain due to hyperocclusion or hyperarticulation following dental restorative procedure"
<http://purl.obolibrary.org/obo/OHD_0010138>	"pulpal pain due to hyperocclusion following dental restorative procedure"
<http://purl.obolibrary.org/obo/OHD_0010139>	"pulpal pain due to hyperarticulation following dental restorative procedure"
<http://purl.obolibrary.org/obo/OHD_0010140>	"acute pain"
<http://purl.obolibrary.org/obo/OHD_0010141>	"chronic pain"
<http://purl.obolibrary.org/obo/OHD_0010142>	"orofacial pain due to lesion or disease of the cranial nerves"
<http://purl.obolibrary.org/obo/OHD_0010143>	"hyperocclusion"
<http://purl.obolibrary.org/obo/OHD_0010144>	"hyperarticulation"
<http://purl.obolibrary.org/obo/OHD_0010145>	"hyperocclusion following dental restorative procedure"
<http://purl.obolibrary.org/obo/OHD_0010146>	"hyperarticulation following dental restorative procedure"
<http://purl.obolibrary.org/obo/OHD_0010147>	"pulpal pain due to extensive removal of dentin"
<http://purl.obolibrary.org/obo/OHD_0010148>	"dental injury"
<http://purl.obolibrary.org/obo/OHD_0010149>	"dental hard tissue fracture"
<http://purl.obolibrary.org/obo/OHD_0010150>	"dental hard tissue fracture without pulp exposure"
<http://purl.obolibrary.org/obo/OHD_0010151>	"irreversible pulpitis due to dental hard tissue fracture without pulp exposure"
<http://purl.obolibrary.org/obo/OHD_0010152>	"pulpal pain due to irreversible pulpitis resulting from a dental hard-tissue fracture without pulp exposure"
<http://purl.obolibrary.org/obo/OHD_0010153>	"reversible pulpitis due to tooth crack"
<http://purl.obolibrary.org/obo/OHD_0010154>	"irreversible pulpitis due to dental hard tissue fracture"
<http://purl.obolibrary.org/obo/OHD_0010155>	"reversible pulpitis due to dental hard tissue fracture"
<http://purl.obolibrary.org/obo/OHD_0010157>	"reversible pulpitis due to dental caries"
<http://purl.obolibrary.org/obo/OHD_0010159>	"irreversible pulpitis due to tooth crack"
<http://purl.obolibrary.org/obo/OHD_0010160>	"irreversible pulpitis due to tooth crack without evidence of missing tooth substance"
<http://purl.obolibrary.org/obo/OHD_0010161>	"pulpal pain due to irreversible pulpitis resulting from tooth crack without evidence of missing tooth substance"
<http://purl.obolibrary.org/obo/OHD_0010162>	"dental hard tissue fracture with pulp exposure"
<http://purl.obolibrary.org/obo/OHD_0010163>	"irreversible pulpitis due to dental hard tissue fracture with pulp exposure"
<http://purl.obolibrary.org/obo/OHD_0010164>	"pulpal pain due to irreversible pulpitis resulting from a dental hard-tissue fracture with pulp exposure"
<http://purl.obolibrary.org/obo/OHD_0010165>	"external cervical root resorption process"
<http://purl.obolibrary.org/obo/OHD_0010166>	"pulpal pain due to pulpitis resulting from an external cervical root resorption"
<http://purl.obolibrary.org/obo/OHD_0010167>	"periodontal pain due to hyperocclusion or hyperarticulation"
<http://purl.obolibrary.org/obo/OHD_0010168>	"periodontal pain due to hyperocclusion"
<http://purl.obolibrary.org/obo/OHD_0010169>	"periodontal pain due to hyperarticulation"
<http://purl.obolibrary.org/obo/OHD_0010170>	"periodontal pain due to accidental dental injury"
<http://purl.obolibrary.org/obo/OHD_0010171>	"periodontal pain due to pulpal inflammation"
<http://purl.obolibrary.org/obo/OHD_0010172>	"endodontic infection"
<http://purl.obolibrary.org/obo/OHD_0010173>	"periodontal pain due to endodontic infection"
<http://purl.obolibrary.org/obo/OHD_0010174>	"intraradicular endodontic infection"
<http://purl.obolibrary.org/obo/OHD_0010175>	"periodontal pain due to intraradicular endodontic infection"
<http://purl.obolibrary.org/obo/OHD_0010176>	"extraradicular endodontic infection"
<http://purl.obolibrary.org/obo/OHD_0010177>	"periodontal pain due to extraradicular endodontic infection"
<http://purl.obolibrary.org/obo/OHD_0010178>	"periodontal pain due to periodontitis as a manifestation of a systemic disorder"
<http://purl.obolibrary.org/obo/OHD_0010179>	"periodontal pain due to genetic disorder"
<http://purl.obolibrary.org/obo/OHD_0010180>	"hematological disorder due to infectious disorder"
<http://purl.obolibrary.org/obo/OHD_0010181>	"periodontal pain due to haematological disorder"
<http://purl.obolibrary.org/obo/OHD_0010182>	"periodontal pain due to periodontal abscess"
<http://purl.obolibrary.org/obo/OHD_0010183>	"periodontal abscess"
<http://purl.obolibrary.org/obo/OHD_0010184>	"malignant lesion"
<http://purl.obolibrary.org/obo/OHD_0010185>	"gingival pain due to malignant lesion"
<http://purl.obolibrary.org/obo/OHD_0010186>	"oral mucosal, salivary gland and jaw bone pains"
<http://purl.obolibrary.org/obo/OHD_0010187>	"hematological disorder"
<http://purl.obolibrary.org/obo/OHD_0010188>	"peri-implantitis"
<http://purl.obolibrary.org/obo/OHD_0010189>	"infective peri-implantitis"
<http://purl.obolibrary.org/obo/OHD_0010190>	"periodontal pain due to infective peri-implantitis"
<http://purl.obolibrary.org/obo/OHD_0010192>	"periodontal pain due to apical and marginal periodontitis resulting from combined endodontic infection and periodontal disease"
<http://purl.obolibrary.org/obo/OHD_0010194>	"irreversible pulpitis due to carious pulp exposure and dental pulp infection"
<http://purl.obolibrary.org/obo/OHD_0010195>	"pulpal pain due to irreversible pulpitis resulting from carious pulp exposure and infection of the pulp"
<http://purl.obolibrary.org/obo/OHD_0010196>	"non-iatrogenic injury"
<http://purl.obolibrary.org/obo/OHD_0010197>	"oral mucosal inflammation due to non-iatrogenic injury"
<http://purl.obolibrary.org/obo/OHD_0010198>	"oral mucosal pain due to non-iatrogenic injury"
